canonical_bioactive_name,meaningful_threshold_amount,meaningful_threshold_unit,meaningful_threshold_basis,meaningful_threshold_source,meaningful_review_status,supplement_threshold_amount,supplement_threshold_unit,supplement_threshold_basis,supplement_threshold_source,supplement_review_status,trace_definition,meaningful_definition,supplement_definition,notes
Folate,40,ug DFE/serving,10% of the 400 ug DFE/day Daily Value and adult RDA context,"NIH ODS Folate fact sheet, https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; FDA folate/folic acid labeling, https://www.fda.gov/food/nutrition-facts-label/folate-and-folic-acid-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,665,ug DFE/serving,common folic-acid supplement dose converted to DFE on product labels,"NIH ODS Folate, https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/; Nature Made Folic Acid 400 mcg / 665 mcg DFE label, https://www.naturemade.com/products/nature-made-folic-acid-tablets",supplement_dose_reviewed,"< 40 ug DFE/serving; do not surface direct health-effect claims, only optional background presence language.",>= 40 ug DFE/serving and below 665 ug DFE/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 665 ug DFE/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Use DFE-aware matching; folic acid mass and food folate mass are not interchangeable without conversion.
Fructose,10,g fructose/serving,high free/added sugar serving context; fructose-specific adverse lipid effects are clearest when added as excess energy at higher repeated intakes,"FDA Added Sugars Nutrition Facts Label PDF, https://www.fda.gov/media/135299/download; fructose health implications review, https://pmc.ncbi.nlm.nih.gov/articles/PMC2991323/; fructose postprandial triglyceride systematic review, https://pubmed.ncbi.nlm.nih.gov/24401226/",meaningful_dose_reviewed_caution,25,g/serving,not a typical supplement nutrient; high added/free sugar exposure routing,"FDA added sugars label guidance, https://www.fda.gov/food/nutrition-facts-label/added-sugars-nutrition-facts-label; WHO sugars guideline news release, https://www.who.int/news/item/04-03-2015-who-calls-on-countries-to-reduce-sugars-intake-among-adults-and-children; NOW Fructose 8 g serving label, https://www.nowfoods.com/products/natural-foods/fructose",not_typical_supplement_reviewed,"< 10 g fructose/serving; do not surface direct health-effect claims, only optional background presence language.",>= 10 g fructose/serving and below 25 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 25 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Caution router for free or added fructose, not whole-fruit fructose in an intact food matrix. Direct fructose lipid effects generally need higher or repeated excess-energy exposure."
Glucose,15,g glucose/serving,fast carbohydrate dose used for hypoglycemia treatment and practical acute glycemic relevance,"American Diabetes Association low blood glucose guidance, https://diabetes.org/living-with-diabetes/hypoglycemia-low-blood-glucose; CDC hypoglycemia treatment 15-15 rule, https://www.cdc.gov/diabetes/treatment/treatment-low-blood-sugar-hypoglycemia.html; NCBI StatPearls oral glucose tolerance test context, https://www.ncbi.nlm.nih.gov/books/NBK532915/",meaningful_dose_reviewed_caution,25,g/serving,not a typical supplement nutrient; high glucose/carbohydrate exposure routing,"FDA added sugars label guidance, https://www.fda.gov/food/nutrition-facts-label/added-sugars-nutrition-facts-label; DailyMed glucose tablet label, https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4293a62f-6fe9-4a3c-b17b-ef33e1fd122c; WebMD glucose/dextrose overview, https://www.webmd.com/drugs/glucose-dextrose",not_typical_supplement_reviewed,"< 15 g glucose/serving; do not surface direct health-effect claims, only optional background presence language.",>= 15 g glucose/serving and below 25 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 25 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Use for acute glucose/glycemic routing. This is not a beneficial target for the general population; context depends on hypoglycemia, exercise, diabetes, and dose timing."
Gluten,10,mg gluten/serving,celiac-disease precaution threshold near a daily contaminating-gluten amount generally considered tolerable for most patients; controlled-trial histologic harm is clearer at 50 mg/day,"FDA gluten-free labeling consumer update, https://www.fda.gov/consumers/consumer-updates/gluten-free-means-what-it-says; Catassi gluten threshold trial, https://pubmed.ncbi.nlm.nih.gov/17209192/; Celiac Disease Foundation label guidance, https://celiac.org/gluten-free-living/gluten-free-foods/label-reading-the-fda/",meaningful_dose_reviewed_caution,20,mg/serving,celiac/gluten exposure caution threshold; not a supplement dose,"FDA gluten-free labeling, https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/gluten-free-labeling-foods; FDA consumer update on 20 ppm gluten-free standard, https://www.fda.gov/consumers/consumer-updates/gluten-free-means-what-it-says; Akobeng and Thomas 2008 tolerable gluten review, https://pubmed.ncbi.nlm.nih.gov/18315587/",not_typical_supplement_reviewed,"< 10 mg gluten/serving; do not surface direct health-effect claims, only optional background presence language.",>= 10 mg gluten/serving and below 20 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 20 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Caution-only row for celiac disease/gluten sensitivity contexts. Ten mg is a precautionary/cumulative exposure router, not a beneficial target and not the controlled-trial harm threshold; individual tolerance varies."
Green tea extract / EGCG,100,mg EGCG/serving,lower quantified EGCG/catechin exposure plausibly above brewed-tea background and below supplement-dose/liver-caution territory,"green tea catechin lipid meta-analysis, https://pubmed.ncbi.nlm.nih.gov/22027055/; EFSA green tea catechin safety opinion, https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2018.5239; green tea safety review, https://www.sciencedirect.com/science/article/pii/S0273230018300928; Drugs.com green tea dosing overview, https://www.drugs.com/npp/green-tea.html",meaningful_dose_reviewed_caution,200,mg EGCG/serving,common green tea extract capsule dose; concentrated EGCG liver-caution context,"NOW EGCG Green Tea Extract 200 mg EGCG label, https://www.nowfoods.com/products/supplements/egcg-green-tea-extract-400-mg-veg-capsules; USP green tea extract safety review, https://www.sciencedirect.com/science/article/pii/S2214750019306596; EFSA green tea catechins safety opinion, https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2018.5239",supplement_dose_reviewed_caution,"< 100 mg EGCG/serving; do not surface direct health-effect claims, only optional background presence language.",>= 100 mg EGCG/serving and below 200 mg EGCG/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 200 mg EGCG/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Use only when EGCG or catechins are quantified. Green-tea extract has form- and fasting-dependent liver safety concerns; brewed tea and bolus extracts should not be treated identically.
Insoluble Fiber,3,g insoluble fiber/serving,rounded fiber-good-source floor and small wheat-bran/insoluble-fiber digestive-health effect range,"FDA Dietary Fiber Nutrition Facts Label PDF, https://www.accessdata.fda.gov/scripts/interactivenutritionfactslabel/assets/InteractiveNFL_DietaryFiber_October2021.pdf; Mayo Clinic fiber overview, https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/fiber/art-20043983; wheat bran digestive-health study, https://pubmed.ncbi.nlm.nih.gov/23609776/",meaningful_dose_reviewed,5,g/serving,not commonly sold as standalone insoluble fiber; bran/high-fiber routing threshold,"Mayo Clinic dietary fiber guidance, https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/fiber/art-20043983; Wheat bran insoluble fiber review, https://pmc.ncbi.nlm.nih.gov/articles/PMC3507301/; NOW Fiber-3 soluble/insoluble fiber label, https://www.nowfoods.com/products/supplements/fiber-3-organic",not_typical_supplement_reviewed,"< 3 g insoluble fiber/serving; do not surface direct health-effect claims, only optional background presence language.",>= 3 g insoluble fiber/serving and below 5 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 5 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Rounded from 2.8 g broad-fiber DV context to 3 g for insoluble-fiber-specific routing. Effects differ by fiber type and GI condition.
Iodine,15,ug/serving,10% of the 150 ug/day Daily Value and adult RDA context for thyroid function,"NIH ODS Iodine fact sheet, https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/; NIH ODS Iodine consumer fact sheet, https://ods.od.nih.gov/factsheets/Iodine-Consumer/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,150,ug/serving,common multivitamin and iodine supplement dose,"NIH ODS Iodine, https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/; NOW Kelp 150 mcg iodine label, https://www.nowfoods.com/products/supplements/kelp-150-mcg-tablets",supplement_dose_reviewed,"< 15 ug/serving; do not surface direct health-effect claims, only optional background presence language.",>= 15 ug/serving and below 150 ug/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 150 ug/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Food-level adequacy threshold. Pregnancy/lactation needs are higher; excess iodine can also disrupt thyroid function in susceptible people.
Iron,1.8,mg/serving,10% of the 18 mg/day Daily Value; iron adequacy context with sex/life-stage variation,"NIH ODS Iron fact sheet, https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; Harvard Nutrition Source iron overview, https://nutritionsource.hsph.harvard.edu/iron/",meaningful_dose_reviewed,18,mg/serving,common general adult iron supplement dose; deficiency products may be higher,"NIH ODS Iron, https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/; Nature Made Iron 18 mg gummies label via Walmart, https://www.walmart.com/ip/Nature-Made-Iron-18-mg-Per-Serving-with-Vitamin-C-Gummies-Dietary-Supplement-70-Count/184221900; Nature Made 65 mg iron tablets, https://www.naturemade.com/products/iron-tablets",supplement_dose_reviewed,"< 1.8 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1.8 mg/serving and below 18 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 18 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Retains 10% DV food-level threshold. Iron needs and safety differ sharply by sex, pregnancy, deficiency, and iron-overload risk."
Lactose,3,g lactose/serving,"lowest reported lactose dose causing symptoms in highly sensitive lactase-deficient subjects; most lactose maldigesters tolerate much more, often up to 12 g as a single dose","EFSA lactose thresholds opinion, https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1777; lactose threshold study summary, https://www.sciencedirect.com/science/article/abs/pii/S0016508519330082; NIDDK lactose intolerance diet guidance, https://www.niddk.nih.gov/health-information/digestive-diseases/lactose-intolerance/eating-diet-nutrition",meaningful_dose_reviewed_caution,12,g/serving,lactose intolerance/tolerance threshold; not a supplement dose,"NIDDK lactose intolerance overview, https://www.niddk.nih.gov/health-information/digestive-diseases/lactose-intolerance/definition-facts; EFSA lactose threshold opinion, https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2010.1777; NCBI lactose intolerance patient summary, https://www.ncbi.nlm.nih.gov/books/NBK534631/",not_typical_supplement_reviewed,"< 3 g lactose/serving; do not surface direct health-effect claims, only optional background presence language.",>= 3 g lactose/serving and below 12 g/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 12 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 6 g for the minimum-effect review. This is a sensitive-subject caution router, not a beneficial target; many lactose maldigesters tolerate 12 g with no or minor symptoms, especially with meals."
Linoleic Acid,1.2,g linoleic acid/serving,"10% of the lower adult linoleic-acid adequate intake, 12 g/day for adult women, used as the minimum adult adequacy contribution threshold","FDA linoleic-acid nutrient content claim notification, https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/nutrient-content-claims-notification-foods-and-dietary-supplements-containing-linoleic-acid; National Academies DRI fatty-acid chapter, https://www.nationalacademies.org/read/11537/chapter/12; Linus Pauling Institute essential fatty acids overview, https://lpi.oregonstate.edu/mic/other-nutrients/essential-fatty-acids",meaningful_dose_reviewed,8,g/serving,linoleic-acid-rich oil intervention/supplemental-oil dose context,"National Academies DRI linoleic acid context, https://www.nationalacademies.org/read/11537/chapter/12; safflower oil intervention dose, https://pmc.ncbi.nlm.nih.gov/articles/PMC3115398/; linoleic acid/safflower supplement context, https://www.natur-drogeriet.com/products/supplements/dietary-supplements/safflower-oil-capsules-100-pcs",not_typical_supplement_reviewed,"< 1.2 g linoleic acid/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1.2 g linoleic acid/serving and below 8 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 8 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 1.7 g to use the lower adult AI as the minimum adult adequacy anchor. Applies to linoleic acid specifically, not total omega-6; replacement effects require saturated-fat displacement context."
Magnesium,42,mg/serving,10% of the 420 mg/day Daily Value and adult RDA range context,"NIH ODS Magnesium fact sheet, https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/; NIH ODS Magnesium consumer fact sheet, https://ods.od.nih.gov/factsheets/Magnesium-Consumer/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,250,mg/serving,common elemental magnesium supplement dose,"NIH ODS Magnesium, https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/; Nature Made Magnesium 250 mg label, https://www.naturemade.com/products/magnesium-250-mg-tablets; Nature Made Magnesium 250 mg label via Walmart, https://www.walmart.com/ip/Nature-Made-Magnesium-250-mg-100-Tablets/2375491284",supplement_dose_reviewed,"< 42 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 42 mg/serving and below 250 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 250 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Food-level adequacy threshold; supplemental magnesium has separate laxative/UL context.
Maltodextrins,15,g maltodextrins/serving,one carbohydrate-counting serving of rapidly digestible glucose polymer with glycemic and sports-carbohydrate relevance,"CDC carbohydrate counting guidance, https://www.cdc.gov/diabetes/healthy-eating/carb-counting-manage-blood-sugar.html; digestible maltodextrins review, https://pmc.ncbi.nlm.nih.gov/articles/PMC4940893/; maltodextrin sports drink study, https://pmc.ncbi.nlm.nih.gov/articles/PMC3975841/",meaningful_dose_reviewed_caution,30,g/serving,sports carbohydrate powder serving dose,"NOW Sports Carbo Gain maltodextrin product, https://www.nowfoods.com/products/sports-nutrition/carbo-gain-powder; NOW Carbo Gain label via Vitacost, https://www.vitacost.com/now-sports-carbo-gain-informed-sport-certified-8-lbs; BulkSupplements Maltodextrin 30 g serving via Walmart, https://www.walmart.com/ip/BulkSupplements-Maltodextrin-Powder-30g-per-Serving-250-Grams-8-8-oz-8-Servings/998161182",supplement_dose_reviewed,"< 15 g maltodextrins/serving; do not surface direct health-effect claims, only optional background presence language.",>= 15 g maltodextrins/serving and below 30 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 30 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Caution/energy router for digestible maltodextrins. Resistant maltodextrin is a fiber-like ingredient and should not be treated as the same nutriment.
Maltose,5,g maltose/serving,"10% of FDA added-sugars Daily Value, used as a conservative free/added disaccharide caution threshold; maltose is hydrolyzed to glucose and is glycemically relevant","FDA Added Sugars Nutrition Facts Label page, https://www.fda.gov/food/nutrition-facts-label/added-sugars-nutrition-facts-label; eCFR definition of total sugars including maltose, https://www.ecfr.gov/current/title-21/chapter-I/subchapter-B/part-101/subpart-A/section-101.9; glycemic index methodology review, https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/glycemic-index",meaningful_dose_reviewed_caution,25,g/serving,not a typical supplement nutrient; high-sugar/carbohydrate exposure routing using added/free sugar guidance,"FDA Daily Values for added sugars, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; WHO sugars guideline news release, https://www.who.int/news/item/04-03-2015-who-calls-on-countries-to-reduce-sugars-intake-among-adults-and-children; maltodextrin carbohydrate-supplement context, https://tools.myfooddata.com/nutrition-facts/2423905/wt1",not_typical_supplement_reviewed,"< 5 g maltose/serving; do not surface direct health-effect claims, only optional background presence language.",>= 5 g maltose/serving and below 25 g/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 25 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 10 g for the minimum-effect review. Maltose should route as an added/free sugar and acute glycemic carbohydrate caution, not as a beneficial supplement target."
Manganese,0.23,mg/serving,10% of the 2.3 mg/day Daily Value and adult adequate-intake context,"NIH ODS Manganese fact sheet, https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/; NIH ODS Manganese consumer fact sheet, https://ods.od.nih.gov/factsheets/Manganese-Consumer/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,8,mg/serving,standalone manganese supplement dose; caution-sensitive trace mineral,"NIH ODS Manganese, https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/; Solgar Chelated Manganese 8 mg label via iHerb, https://www.iherb.com/pr/solgar-chelated-manganese-100-tablets-8-mg-per-tablet/48554; Swanson Manganese 10 mg label via Walmart, https://www.walmart.com/ip/Swanson-Albion-Manganese-10-mg-180-Caps/679481343",supplement_dose_reviewed_caution,"< 0.23 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.23 mg/serving and below 8 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 8 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Food-level adequacy threshold. Excess manganese exposure is a separate caution issue, especially from non-food sources or high-dose supplements."
Molybdenum,4.5,ug/serving,10% of the 45 ug/day Daily Value and adult RDA context,"NIH ODS Molybdenum fact sheet, https://ods.od.nih.gov/factsheets/Molybdenum-HealthProfessional/; National Academies molybdenum DRI chapter, https://www.ncbi.nlm.nih.gov/books/NBK222301/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,50,ug/serving,lower end of molybdenum dietary supplement range,"NIH ODS Molybdenum, https://ods.od.nih.gov/factsheets/Molybdenum-HealthProfessional/; Solgar Molybdenum 150 mcg label, https://www.solgar.com/products/chelated-molybdenum-tablets; Kirkman Molybdenum 100 mcg label via Amazon, https://www.amazon.com/Kirkman-Molybdenum-100mcg-Hypoallergenic-vegetarian/dp/B00P8DX5L0",supplement_dose_reviewed,"< 4.5 ug/serving; do not surface direct health-effect claims, only optional background presence language.",>= 4.5 ug/serving and below 50 ug/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 50 ug/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Food-level trace-mineral adequacy threshold; deficiency is rare and effect claims should remain evidence-matched.
Monounsaturated Fat,5,g monounsaturated fat/serving,food-level unsaturated-fat replacement context; benefit depends on replacing saturated fat rather than adding calories,"FDA oleic acid qualified health claim clarification PDF, https://www.fda.gov/media/146894/download; EFSA opinion on mono/polyunsaturated fat replacement and blood cholesterol, https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2011.2168; American Heart Association fats in foods, https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/fats-in-foods",meaningful_dose_reviewed,10,g/serving,one-tablespoon olive/high-oleic oil monounsaturated-fat dose context,"FDA oleic acid qualified health claim, https://www.fda.gov/food/hfp-constituent-updates/fda-completes-review-qualified-health-claim-petition-oleic-acid-and-risk-coronary-heart-disease; FDA Daily Values/label nutrients, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; olive oil monounsaturated fat per tablespoon, https://www.verywellfit.com/olive-oil-nutrition-facts-calories-and-health-benefits-4120274",not_typical_supplement_reviewed,"< 5 g monounsaturated fat/serving; do not surface direct health-effect claims, only optional background presence language.",>= 5 g monounsaturated fat/serving and below 10 g/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 10 g/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Retains 5 g as a food-level routing threshold below oil-serving/supplement territory. MUFA effects require replacement of saturated fat and attention to total calories.
Niacin,1.6,mg NE/serving,10% of the 16 mg NE/day Daily Value and adult RDA context,"NIH ODS Niacin fact sheet, https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/; Harvard Nutrition Source niacin overview, https://nutritionsource.hsph.harvard.edu/niacin-vitamin-b3/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,50,mg NE/serving,lower standalone niacin supplement dose with flushing/caution context,"NIH ODS Niacin, https://ods.od.nih.gov/factsheets/Niacin-HealthProfessional/; Nature Way Niacin 100 mg label via Kroger, https://www.picknsave.com/p/nature-s-way-niacin-vitamin-b3-capsules-100-mg-per-serving/0003367440470; Seeking Health Niacin 50 mg label, https://www.seekinghealth.com/products/niacin",supplement_dose_reviewed_caution,"< 1.6 mg NE/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1.6 mg NE/serving and below 50 mg NE/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 50 mg NE/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Use niacin equivalents. High-dose nicotinic acid has separate flushing and hepatotoxicity/cardiometabolic medication context.
Nitrate,250,mg nitrate/serving,"approximately 4 mmol nitrate, a lower human inorganic-nitrate dose range with vascular/blood-pressure relevance; exercise-performance protocols often use higher 300-600 mg doses","inorganic nitrate blood-pressure dose-response study, https://www.ahajournals.org/doi/10.1161/hypertensionaha.110.153536; dietary nitrate blood-pressure review, https://pmc.ncbi.nlm.nih.gov/articles/PMC4729801/; nitrate exercise-performance review, https://pmc.ncbi.nlm.nih.gov/articles/PMC8465461/",meaningful_dose_reviewed,400,mg nitrate/serving,beetroot/nitrate sport supplement dose and human exercise-intervention range,"Australian Institute of Sport nitrate/beetroot guidance, https://www.ausport.gov.au/ais/nutrition/supplements/group_a/performance-supplements2/beetroot-juicenitrate; Beet It Sport Nitrate 400 label, https://www.beet-it.us/products/beet-it-sport-nitrate-400-shots-15x70ml; nitrate supplementation review, https://pmc.ncbi.nlm.nih.gov/articles/PMC8465461/",supplement_dose_reviewed,"< 250 mg nitrate/serving; do not surface direct health-effect claims, only optional background presence language.",>= 250 mg nitrate/serving and below 400 mg nitrate/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 400 mg nitrate/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 300 mg for the minimum-effect review. Use actual nitrate amount, not beet powder or beet juice mass; effects depend on oral bacteria, timing, baseline blood pressure/fitness, and nitrate source."
Nitrates,250,mg nitrate/serving,"approximately 4 mmol nitrate, a lower human inorganic-nitrate dose range with vascular/blood-pressure relevance; synonym row aligned with Nitrate","inorganic nitrate blood-pressure dose-response study, https://www.ahajournals.org/doi/10.1161/hypertensionaha.110.153536; dietary nitrate blood-pressure review, https://pmc.ncbi.nlm.nih.gov/articles/PMC4729801/; nitrate exercise-performance review, https://pmc.ncbi.nlm.nih.gov/articles/PMC8465461/",meaningful_dose_reviewed,400,mg nitrate/serving,beetroot/nitrate sport supplement dose and human exercise-intervention range,"Australian Institute of Sport nitrate/beetroot guidance, https://www.ausport.gov.au/ais/nutrition/supplements/group_a/performance-supplements2/beetroot-juicenitrate; Beet It Sport Nitrate 400 label, https://www.beet-it.us/products/beet-it-sport-nitrate-400-shots-15x70ml; nitrate supplementation review, https://pmc.ncbi.nlm.nih.gov/articles/PMC8465461/",supplement_dose_reviewed,"< 250 mg nitrate/serving; do not surface direct health-effect claims, only optional background presence language.",>= 250 mg nitrate/serving and below 400 mg nitrate/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 400 mg nitrate/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 300 mg for the minimum-effect review and kept aligned with the Nitrate row. Use actual nitrate amount, not beet powder or beet juice mass; effects depend on oral bacteria, timing, baseline blood pressure/fitness, and nitrate source."
Oleic Acid,5,g oleic acid/serving,per-eating-occasion food-level share of FDA high-oleic-oil qualified-health-claim intake; benefit depends on replacing saturated fat,"FDA oleic acid qualified health claim, https://www.fda.gov/food/hfp-constituent-updates/fda-completes-review-qualified-health-claim-petition-oleic-acid-and-risk-coronary-heart-disease; FDA oleic acid petition review PDF, https://www.fda.gov/media/118199/download; FDA clarification PDF, https://www.fda.gov/media/146894/download",meaningful_dose_reviewed,15,g oleic acid/serving,high-oleic oil serving/intervention context; not typical capsule supplement,"FDA oleic acid qualified health claim, https://www.fda.gov/food/hfp-constituent-updates/fda-completes-review-qualified-health-claim-petition-oleic-acid-and-risk-coronary-heart-disease; FDA oleic acid clarification letter, https://www.fda.gov/media/146894/download; olive oil monounsaturated fat per tablespoon, https://www.verywellfit.com/olive-oil-nutrition-facts-calories-and-health-benefits-4120274",not_typical_supplement_reviewed,"< 5 g oleic acid/serving; do not surface direct health-effect claims, only optional background presence language.",>= 5 g oleic acid/serving and below 15 g oleic acid/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 15 g oleic acid/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Meaningful only when oleic-rich oils replace saturated-fat sources without increasing calories. Do not treat isolated oleic acid as inherently beneficial outside replacement context.
Omega 6 Fat,1.2,g omega-6/serving,"10% of the lower adult linoleic-acid adequate intake, 12 g/day for adult women, used as broad omega-6 minimum adequacy context","FDA linoleic-acid nutrient content claim notification, https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/nutrient-content-claims-notification-foods-and-dietary-supplements-containing-linoleic-acid; National Academies DRI fatty-acid chapter, https://www.nationalacademies.org/read/11537/chapter/12; Linus Pauling Institute essential fatty acids overview, https://lpi.oregonstate.edu/mic/other-nutrients/essential-fatty-acids",meaningful_dose_reviewed,8,g omega-6/serving,linoleic-acid-rich oil intervention/supplemental-oil dose context,"National Academies DRI linoleic acid context, https://www.nationalacademies.org/read/11537/chapter/12; safflower oil intervention dose, https://pmc.ncbi.nlm.nih.gov/articles/PMC3115398/; linoleic acid/safflower supplement context, https://www.natur-drogeriet.com/products/supplements/dietary-supplements/safflower-oil-capsules-100-pcs",not_typical_supplement_reviewed,"< 1.2 g omega-6/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1.2 g omega-6/serving and below 8 g omega-6/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 8 g omega-6/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 1.7 g to use the lower adult AI as the minimum adult adequacy anchor. Use the specific Linoleic Acid row when available; not all omega-6 fatty acids are interchangeable.
